ip,port
,
163.204.245.203,9999
163.204.241.78,9999
163.204.242.192,9999
58.253.156.80,9999
182.35.83.222,9999
59.45.13.220,35504
120.83.104.92,9999
58.253.156.179,9999
113.121.21.201,9999
60.13.42.26,9999
175.42.128.227,9999
60.13.42.226,9999
182.34.20.89,9999
112.87.68.151,9999
163.204.242.214,9999
42.238.90.30,9999
27.43.189.4,9999
60.13.42.104,9999
123.163.96.90,9999
163.204.241.251,9999
122.193.246.40,9999
,
112.85.128.30,9999
120.83.108.203,9999
163.204.242.122,9999
163.204.243.124,9999
60.13.42.198,9999
114.239.250.209,9999
114.239.110.110,9999
163.204.242.49,9999
60.13.42.125,9999
163.204.245.191,9999
120.83.122.155,9999
60.13.42.32,9999
183.166.7.47,9999
163.204.242.146,9999
49.89.103.72,9999
163.204.244.74,9999
163.204.241.92,9999
120.83.106.17,9999
42.238.88.24,9999
,
112.87.70.205,9999
60.13.42.252,9999
112.87.69.44,9999
112.80.158.105,8118
123.169.35.162,9999
112.85.130.199,9999
117.95.195.98,9999
60.13.42.28,9999
120.83.96.173,9999
122.4.29.17,61234
117.80.189.103,808
113.65.5.14,8118
182.34.37.84,9999
163.204.247.18,9999
123.169.35.51,9999
163.204.244.18,9999
182.34.32.253,9999
111.226.211.21,8118
120.83.103.126,808
175.43.56.61,9999
120.83.104.222,6675
60.169.240.11,808
163.204.243.112,9999
123.52.140.250,9999
120.83.108.97,9999
163.204.242.67,9999
163.204.245.128,9999
60.13.42.83,9999
60.172.85.193,808
60.172.75.18,808
112.85.129.187,8090
49.70.32.138,808
163.204.244.48,9999
120.83.108.104,9999
114.239.2.224,808
182.35.81.158,9999
182.35.82.173,9999
112.85.130.69,9999
163.204.245.168,9999
163.204.240.146,9999
49.89.103.149,9999
122.193.246.136,9999
120.83.110.208,9999
163.204.246.96,9999
120.83.120.174,9999
27.43.190.15,9999
163.204.246.231,9999
163.204.245.29,9999
163.204.241.90,9999
180.117.133.103,8118
112.85.129.100,9999
27.43.191.40,9999
60.13.42.190,9999
115.202.156.187,39589
117.87.116.84,8123
163.204.246.26,9999
163.204.245.19,9999
112.85.174.209,9999
163.204.241.144,9999
27.43.185.96,9999
112.87.68.55,9999
117.95.232.218,9999
171.35.167.191,9999
113.121.20.215,9999
171.11.32.252,9999
113.124.87.90,9999
182.34.33.15,9999
163.204.246.75,9999
163.204.245.140,9999
163.204.243.169,9999
163.204.246.215,9999
183.166.230.210,9999
123.163.96.232,9999
60.13.42.176,9999
122.193.247.156,9999
112.85.128.170,9999
112.87.71.138,9999
27.43.185.70,9999
180.116.216.159,8118
60.13.42.61,9999
163.204.243.233,9999
163.204.245.17,9999
115.53.33.95,9999
112.85.129.106,9999
60.13.42.20,9999
113.124.87.230,9999
112.87.69.148,9999
122.193.244.94,9999
120.83.99.199,9999
113.121.23.170,9999
120.83.109.170,9999
182.34.34.67,9999
182.34.35.145,9999
163.204.246.57,9999
123.163.96.178,9999
60.13.42.76,9999
163.204.245.234,9999
183.166.6.153,9999
119.49.240.248,8080
163.204.246.7,61234
36.62.243.242,44067
163.204.242.61,9999
171.12.112.222,9999
163.204.241.89,9999
112.85.148.41,9999
58.209.226.67,8118
115.53.87.235,8118
163.204.245.95,9999
60.13.42.204,9999
120.83.106.232,9999
122.193.244.219,9999
112.87.68.251,9999
