项目名称,项目编号,发包方名称,发包方联系人,时间,合同金额
昌平区北七家镇沟自头村定向安置房项目第一施工区域结构劳务分包工程,2019Z20001252,北京住总第六开发建设有限公司,靳国忠,2019-07-07 00:00:00.0,8776740.00
小井新村二期回迁房项目（A9#住宅楼等9项）,2019F20005471,北京城建建设工程有限公司,苗林庆,2019-07-09 00:00:00.0,19540931.91
二友居肉饼回龙观店装修工程,2019F20005871,北京华特装饰艺术有限责任公司,孔会敏,2019-07-08 00:00:00.0,235000.00
通州口岸（YZ00-0606-0014地块）F3其他类多功能用地项目（二标段）机电安装工程（电气工程）,2019Z20001386,北京市设备安装工程集团有限公司,桑振宇,2019-07-08 00:00:00.0,2950000.00
长阳镇人民政府赵庄村供排水改造工程,2019F20005482,保定建业集团有限公司,张兰柱,2019-07-08 00:00:00.0,5675600.00
北京市朝阳区顺白路（北苑东路~奶西村三号路）道路工程-污水工程劳务1#标,2019F20005695,北京市市政一建设工程有限责任公司,-,2019-07-08 00:00:00.0,473865.09
小井新村二期回迁房项目（A9#住宅楼等9项）,2019F20005468,北京城建建设工程有限公司,苗林庆,2019-07-07 00:00:00.0,60233193.76
北京市顺义区公路日常维护服务1#承包工程,2019Z20001355,北京路桥瑞通养护中心有限公司,王凤平,2019-07-08 00:00:00.0,9290400.00
同方国际公寓（二期）项目（1#住宅楼等4项）施工临时排水工程,2019F20005350,北京北排建设有限公司,石磊,2019-06-30 00:00:00.0,81370.00
康家沟电保基地改造工程-弱电、消防配管、线槽施工劳务工程,2019Z20001291,北京住总集团有限责任公司,/,2019-06-26 00:00:00.0,2407294.92
延庆区延庆新城YQ00-0300-0058（世园会二期）R2二类居住用地、B4综合性商业金融服务业用地项目23#、26#商品住宅项目结构劳务工程,2019Z20001274,北京城建北方集团有限公司,王德国,2019-06-29 00:00:00.0,8686096.25
豆各庄3、4号地通惠灌渠东侧地块东城区旧城保护定向安置房项目4-07#、4-08#住宅楼、4-11#幼儿园、车库（南）二次结构2标段,2019F20005963,中国新兴建设开发有限责任公司,马健峰,2019-06-26 00:00:00.0,774000.00
（3#住宅楼（商品房））（3#住宅楼（商品房）等2项（顺义区仁和镇SY00-0005-6007、6005地块R2二类居住用地（配建“限价商品住房”）项目））,2019F20005648,北京城建北方集团有限公司,王德国,2019-06-26 00:00:00.0,614187.80
北京大学餐饮综合楼工程,2019F20005639,中铁建设集团设备安装有限公司,谭学彪,2019-06-26 00:00:00.0,405115.36
黄寺大街25#.27#院供热改造工程,2019F20005300,北京易成市政工程有限责任公司,强兵,2019-06-26 00:00:00.0,967400.00
通州文化旅游区群芳东四路（曹园南大街—万盛南街）等九条路10千伏电力工程01标段,2019F20005429,北京市设备安装工程集团有限公司,桑振宇,2019-06-27 00:00:00.0,500000.00
2018年怀柔区普通公路水毁设施恢复重建工程（琉璃庙漫水桥）,2019F20005291,北京路桥瑞通养护中心有限公司,王凤平,2019-06-27 00:00:00.0,487500.00
未来科技城南区A14组团项目消防工程,2019F20005210,北京东方京安消防工程有限公司,王绍华,2019-06-26 00:00:00.0,300000.00
（4#住宅楼（商品房））（3#住宅楼（商品房）等2项（顺义区仁和镇SY00-0005-6007、6005地块R2二类居住用地（配建“限价商品住房”）项目））,2019F20005651,北京城建北方集团有限公司,王德国,2019-06-26 00:00:00.0,846254.15
北京地铁六号线西延工程土建施工06合同段苹果园站过街通道施工竖井及横通道初期支护工程施工,2019F20005473,中铁十四局集团有限公司,吴言坤,2019-06-24 00:00:00.0,2000000.00
青年路（朝阳路-朝阳北路）道路工程（施工）道路工程（施工）二道沟河主桥工程,2019F20005283,北京鑫旺路桥建设有限公司,陈东旭,2019-06-25 00:00:00.0,908950.00
北京地铁3号线3标石佛营站施工横通道及1#竖井二衬工程,2019Z20001255,北京市政建设集团有限责任公司,刘其铎,2019-06-25 00:00:00.0,7231750.00
北京国际戏剧中心报房胡同道路保护工程,2019Z20001197,北京易成市政工程有限责任公司,强兵,2019-06-24 00:00:00.0,1145973.85
后大营110KV变电站辅助生产工程二次结构及装修劳务分包工程,2019F20005227,北京崇建工程有限公司,赵亮,2019-06-25 00:00:00.0,253010.00
北京市大兴区旧宫镇YZ00-0801-0039-6001地块R2类居住、A61机构养老设施用地项目叠拼外幕墙工程-幕墙及脚手架劳务分包工程,2019F20004545,中铁建工集团装饰工程有限公司,寇建华,2019-06-25 00:00:00.0,1820000.00
5#住宅楼等6项机电安装劳务工程,2019F20005522,中国建筑第八工程局有限公司,校荣春,2019-06-25 00:00:00.0,17466243.54
商业、办公等2项（崇外大街五号地西南角商业金融项目（新景商务楼））,2019Z20001264,北京城建亚泰建设集团有限公司,曹国章,2019-06-25 00:00:00.0,3300301.00
和顺大街（永大西路-魏永路）电力管道工程,2019Z20001217,北京市市政四建设工程有限责任公司,/,2019-06-25 00:00:00.0,5380860.00
北京信息科技大学新校区建设工程风雨操场等公共用房和研究生、留学生宿舍组团项目机电工程（结构配合）电气工程,2019F20005613,北京市第三建筑工程有限公司,王栋,2019-06-25 00:00:00.0,469027.00
北京中医药大学良乡校区西院锅炉房项目,2019F20005621,北京市设备安装工程集团有限公司,-,2019-06-23 00:00:00.0,986523.00
天坛街道2018年百街千巷环境整治提升TT-4工程-永内东街西里7号楼南侧室内整治提升,2019F20005294,北京市市政一建设工程有限责任公司,/,2019-06-24 00:00:00.0,479215.20
昌平区北七家CP-0203-0007等地块R2二类居住用地、A33基础教育用地—Ⅱ标段总包办公区、及主路临设劳务工程,2019F20005062,北京城建北方集团有限公司,张权,2019-06-24 00:00:00.0,79666.37
昌平区北七家镇沟自头村定向安置房项目水电安装劳务工程,2019Z20001249,北京住总第六开发建设有限公司,靳国忠,2019-06-23 00:00:00.0,4375703.00
新馨苑居住区-646地块公租房及配套工程,2019F20005383,北京海化联合防水保温工程有限公司,李勇,2019-06-22 00:00:00.0,4900000.00
地球系统数值模拟装置项目,2019F20005007,中铁建设集团有限公司,郝长江,2019-06-22 00:00:00.0,6494050.56
背街小巷环境建设项目-永定路街道正大路。,2019F20005049,北京市常青市政工程有限公司,任有旺,2019-06-24 00:00:00.0,400000.00
北京市朝阳区观音堂沟、通惠西排干沟流域河道截污管线工程—观音堂沟临时管线工程,2019Z20001145,北京城建集团有限责任公司,陈代华,2019-06-24 00:00:00.0,1819927.00
餐饮、住宿及配套设施主体装修工程,2019Z20001245,北京建工四建工程建设有限公司,孙振泉,2019-06-22 00:00:00.0,4888954.00
西站南路南延（丽泽路-南三环路）道路工程桥梁工程K0+434.144U型槽,2019F20005303,北京市市政六建设工程有限公司,-,2019-06-24 00:00:00.0,434909.57
2019年乡村公路大修工程-南口镇,2019F20005672,北京城建道桥建设集团有限公司,姚自然,2019-06-23 00:00:00.0,990304.00
草桥有机质生态处理中心升级改造项目（水电）工程结算,2019F20005612,北京市第三建筑工程有限公司,王栋,2019-06-25 00:00:00.0,565130.00
密云区“7.16”水毁乡村公路及桥梁修复工程第1标段-西黄路,2019F20005157,北京路桥瑞通养护中心有限公司,王凤平,2019-06-23 00:00:00.0,700000.00
通州区台湖镇104地块F3其他类多功能用地项目（6#楼（办公）等8项）（6#13#14#楼地下部分及对应车库）,2019Z20001176,北京城建七建设工程有限公司,刘新,2019-06-23 00:00:00.0,9928509.00
外经贸大厦空铺门店项目之装饰、电气工程施工,2019F20005550,广东爱得威建设（集团）股份有限公司,叶玉敬,2019-06-23 00:00:00.0,49646.00
北京城市副中心职工周转房（南区）项目脚手架施工综合劳务,2019F20005680,北京六建集团有限责任公司,王春雨,2019-06-25 00:00:00.0,971320.14
2019年度北京市昌平区普通公路小修保养服务（交通设施）项目,2019Z20001257,北京路桥瑞通养护中心有限公司,王凤平,2019-06-25 00:00:00.0,2108100.00
荷清路3号院景观提升改造项目,2019F20005534,北京路桥海威园林绿化有限公司,王化丛,2019-06-25 00:00:00.0,429263.28
中国医学科学院肿瘤医院住院综合楼工程项目,2019F20005208,中煤地质集团有限公司,林中湘,2019-06-26 00:00:00.0,850000.00
通州区台湖镇104地块F3其他类多功能用地项目（6#楼（办公）等8项）（7#8#楼地上结构部分）,2019Z20001179,北京城建七建设工程有限公司,陈新,2019-06-25 00:00:00.0,8258917.50
2019年延庆区乡村公路小修工程,2019F20005305,北京路桥瑞通养护中心有限公司,王凤平,2019-06-26 00:00:00.0,308000.00
康弘国际生产及研发中心建设项目,2019F20005966,中国新兴建设开发有限责任公司,马健峰,2019-06-26 00:00:00.0,2944259.00
门头沟区2018年乡村公路桥梁大修工程,2019F20005299,北京路桥瑞通养护中心有限公司,王凤平,2019-06-26 00:00:00.0,43700.00
北京昌平区1-45#住宅楼等11项（嘉泽生态住宅小区二期项目）小市政分包工程,2019F20005277,北京市常青市政工程有限公司,任有旺,2019-06-25 00:00:00.0,154800.00
通州区通怀路附属设施中修工程（K7+258-K11+438）,2019F20005281,北京路桥瑞通养护中心有限公司,王凤平,2019-06-26 00:00:00.0,492564.00
2019年老旧小区综合整治提升工程（八里庄南里）10标段,2019F20005793,北京亮堂建筑装饰工程有限公司,王文才,2019-06-25 00:00:00.0,1534823.00
2018年海淀区学院路街道老旧小区综合整治项目东王庄小区东段、志新西路7号院外线、室外铺装分包工程,2019F20005152,北京市铁源市政建筑有限公司,胡来顺,2019-06-24 00:00:00.0,300000.00
5号研发楼（北京炼焦化学厂能源研发科技中心项目）,2019F20005661,北京首华建设经营有限公司,徐维恒,2019-06-24 00:00:00.0,1066323.90
顺义区委政法委、区检察院联合办公楼维修改造工程-弱电工程,2019F20005025,北京益泰牡丹电子工程有限责任公司,丁燕,2019-06-24 00:00:00.0,650000.00
北京东站货场铁路职工住房项目A地块工程临设土建分包工程,2019F20005241,中铁建设集团有限公司,赵伟,2019-06-25 00:00:00.0,714051.09
经海一路（科创十七街～科创六街）道路改造工程3标段 文明施工合同,2019F20005304,北京市市政二建设工程有限责任公司,/,2019-06-25 00:00:00.0,462000.00
北京建工集团党校学员宿舍楼装修改造工程—装修工程,2019F20005414,北京市第五建筑工程集团装饰工程有限公司,齐瑞,2019-06-24 00:00:00.0,962014.31
天坛街道2018年百街千巷环境整治提升TT-4工程-水道子胡同、西园子三巷室外道路维修改造,2019F20004957,北京市市政一建设工程有限责任公司,高飞,2019-06-24 00:00:00.0,450000.00
北京建工集团党校学员宿舍楼装修改造工程—安装工程,2019F20005382,北京市第五建筑工程集团装饰工程有限公司,/,2019-06-24 00:00:00.0,991836.67
密云区G234国道大修工程（k62+220-k81+600),2019F20005155,北京路桥瑞通养护中心有限公司,王凤平,2019-06-23 00:00:00.0,843660.00
首都体育馆改扩建等项目,2019F20005005,中国建筑第八工程局有限公司,校荣春,2019-06-23 00:00:00.0,9988116.78
地铁14号线15标高家园缓建工程竖井、换乘通道、风道及出入口暗挖工程,2019Z20001256,北京市政建设集团有限责任公司,刘其铎,2019-06-23 00:00:00.0,9875000.00
北京轨道交通新机场线一期工程土建03标二工区03段,2019Z20001171,北京市政路桥股份有限公司,李军,2019-06-24 00:00:00.0,1638800.00
延崇高速公路（北京段）工程第八合同段桥梁施工,2019F20005211,中铁十五局集团有限公司,张喜胜,2019-06-24 00:00:00.0,2050000.00
门头沟新城冯村地区（一期）居住项目A地块东区（二期）洋房工程,2019F20005068,华润建筑有限公司,孙永强,2019-06-23 00:00:00.0,2850544.53
广渠路东延（怡乐西路-东六环路）道路工程2#标段,2019F20005160,北京市政路桥管理养护集团有限公司,李青林,2019-06-23 00:00:00.0,593800.00
昌平区南邵镇（昌平新城东区六期（东））0302-57地块F1住宅混合公建用地（配建“公共租赁住房”项目。（1#商品住宅等5项）-消防项目,2019F20005018,北京奥信建筑工程设备安装有限公司,赵剑,2019-06-23 00:00:00.0,860308.00
首钢二通厂南区棚改定向安置房项目1615-680、681、682地块热计量系统采购及安装工程,2019Z20001198,北京易成市政工程有限责任公司,强兵,2019-06-23 00:00:00.0,3721000.00
5#住宅楼等6项机电安装劳务工程,2019F20005583,中国建筑第八工程局有限公司,黄克斯,2019-06-25 00:00:00.0,12647969.46
北京环球影城主题公园,2019F20005057,中铁建设集团有限公司,谭雪彪,2019-06-25 00:00:00.0,838235.48
北京市西城区二环路日常养护、重大活动及节假日设施保障、防巡养一体化等工程,2019F20005537,北京市政路桥管理养护集团有限公司,李青林,2019-06-25 00:00:00.0,966355.00
地下工程等16项（融坤养老中心建设项目）A1外幕墙工程,2019F20005477,山东泰丰工程集团有限公司,汤占峰,2019-06-25 00:00:00.0,435000.00
北京信息科技大学新校区建设工程风雨操场等公共用房和研究生、留学生宿舍组团项目脚手架工程,2019Z20001283,北京建工集团有限责任公司,樊军,2019-06-25 00:00:00.0,2160022.00
PD 幕墙工程,2019F20005101,北京东方泰洋装饰工程有限公司,郑卫兵,2019-06-26 00:00:00.0,1540000.00
